draw_date,n1,n2,n3,n4,n5,powerball
4/3/2021,1,12,17,39,53,5
4/7/2021,27,35,39,51,66,16
4/10/2021,14,16,23,50,53,3
4/14/2021,13,30,33,45,61,14
4/17/2021,10,21,26,41,49,25
4/21/2021,21,25,32,63,67,6
4/24/2021,22,36,48,59,61,22
5/1/2021,35,36,47,61,63,3
5/5/2021,16,23,28,40,63,1
5/8/2021,12,17,20,21,26,8
5/12/2021,1,19,20,38,54,17
5/15/2021,4,10,37,39,69,24
5/19/2021,11,13,55,56,69,4
5/22/2021,3,19,27,37,40,8
5/26/2021,2,8,21,34,62,16
5/29/2021,11,13,22,27,46,20
6/2/2021,6,7,11,66,67,19
6/5/2021,44,52,54,64,69,26
6/9/2021,19,28,46,50,54,9
6/12/2021,8,25,34,38,41,10
6/16/2021,19,29,34,44,50,25
6/19/2021,4,22,35,38,39,20
6/23/2021,13,20,40,51,63,1
6/26/2021,8,31,39,43,60,17
6/30/2021,24,29,50,65,66,14
7/3/2021,26,40,41,55,65,24
7/7/2021,8,21,30,49,57,8
7/10/2021,1,5,29,54,62,3
7/14/2021,33,46,52,59,62,10
7/17/2021,15,22,38,54,66,3
7/21/2021,27,28,44,67,68,11
7/24/2021,1,4,11,59,67,10
7/28/2021,25,30,53,59,60,5
7/31/2021,1,21,22,34,47,4
8/4/2021,5,21,32,36,58,14
8/7/2021,7,24,36,54,60,23
8/11/2021,12,18,20,29,30,16
8/14/2021,6,21,49,65,67,18
8/18/2021,35,36,51,55,61,26
8/21/2021,16,28,36,39,59,4
8/23/2021,17,36,47,60,61,15
8/25/2021,27,39,54,56,59,24
8/28/2021,12,22,26,46,59,26
8/30/2021,3,15,45,51,61,8
9/1/2021,10,20,29,48,51,17
9/4/2021,32,35,40,52,54,1
9/6/2021,11,20,22,33,54,24
9/8/2021,9,22,41,47,61,21
9/11/2021,20,31,38,40,49,21
9/13/2021,37,40,50,61,63,21
9/15/2021,1,4,18,46,62,25
9/18/2021,5,36,39,45,57,11
9/20/2021,37,51,54,58,60,19
9/22/2021,20,40,47,55,63,5
9/25/2021,22,23,37,62,63,19
9/27/2021,21,22,39,44,60,12
9/29/2021,2,7,11,17,32,11
10/2/2021,28,38,42,47,52,1
10/4/2021,12,22,54,66,69,15
10/9/2021,12,17,30,45,62,5
10/11/2021,11,20,33,39,65,24
10/13/2021,23,29,47,59,60,15
10/16/2021,30,31,41,42,48,3
10/18/2021,30,32,48,53,63,12
10/20/2021,7,29,36,41,43,5
10/23/2021,10,30,51,57,63,20
10/25/2021,10,27,29,44,58,24
10/27/2021,3,6,26,35,51,17
10/30/2021,5,23,28,43,56,19
11/1/2021,9,25,34,44,45,8
11/3/2021,1,2,24,50,57,26
11/6/2021,8,30,48,57,64,9
11/8/2021,21,46,47,57,62,8
11/10/2021,19,25,43,46,48,14
11/13/2021,8,15,26,35,45,9
11/15/2021,5,31,34,51,53,23
11/17/2021,3,16,48,52,60,1
11/20/2021,40,43,48,59,69,19
11/22/2021,7,20,29,38,67,22
11/24/2021,10,16,32,63,65,17
11/27/2021,8,32,55,64,66,10
11/29/2021,18,26,28,38,47,17
12/1/2021,12,15,38,57,63,24
12/4/2021,10,40,45,56,67,2
12/6/2021,3,21,38,50,59,6
12/8/2021,3,7,33,50,69,24
12/11/2021,3,25,44,53,64,10
12/13/2021,10,30,37,53,59,4
12/15/2021,19,20,40,42,59,15
12/18/2021,2,6,24,51,61,1
12/20/2021,2,13,23,34,66,2
12/22/2021,7,16,19,48,68,15
12/25/2021,27,29,45,55,58,2
12/27/2021,36,38,45,62,64,19
12/29/2021,2,6,9,33,39,11
1/1/2022,6,12,39,48,50,7
1/3/2022,2,13,32,33,48,22
1/5/2022,6,14,25,33,46,17
1/10/2022,14,17,18,21,27,9
1/12/2022,12,21,22,30,33,24
1/15/2022,3,18,37,51,59,13
1/17/2022,9,24,35,46,65,22
1/19/2022,11,15,43,55,61,10
1/22/2022,8,14,33,36,67,17
1/24/2022,11,29,30,47,53,16
1/26/2022,4,11,38,49,69,16
1/29/2022,2,15,38,54,65,11
1/31/2022,10,15,51,61,69,14
2/2/2022,18,29,33,62,63,15
